,WELL ID,CellLine,CellCount,Dilution,SampleCat,HPs,ZsG,VSVG,Dox,Titer,ZsG+%,Cells%,SingleCells%,ZsG+_count,
Specimen_001_A1_001.fcs,A01,A-1,2.29E+04,3,NoHPs,N,N,N,Y,0,0,78.6,96.7,0,
Specimen_001_A2_A02_001.fcs,A02,A-1,2.29E+04,3,"HPs, No dox",Y,N,N,N,5038,1.10,76.3,96.9,331,
Specimen_001_A3_A03_002.fcs,A03,A-1,2.29E+04,15,HPs + dox,Y,N,N,Y,49235,2.15,74.3,96.4,650,
Specimen_001_A4_A04_003.fcs,A04,A-1,2.29E+04,3,HPs + ZsG,Y,Y,N,N,5817,1.27,76.6,96.7,382,
Specimen_001_A5_A05_004.fcs,A05,A-1,2.29E+04,15,HPs + ZsG + dox,Y,Y,N,Y,61143,2.67,76.2,96.9,807,
Specimen_001_A6_003.fcs,A06,A-1,2.29E+04,375,HPs + VSV G,Y,N,Y,N,1.16E6,2.02,73.7,97.2,611,
Specimen_001_A7_A07_005.fcs,A07,M3,2.29E+04,15,NoVEP,Y,Y,N,N,0,0,81.9,97.5,0,
Specimen_001_A8_A08_006.fcs,A08,A-1,2.29E+04,1875,HPs + ZsG + V,Y,Y,Y,N,7.21E6,2.52,76.1,96.9,763,
Specimen_001_A9_A09_007.fcs,A09,M3,2.29E+04,1875,ZsG + WT GP,Y,Y,N,N,7.59E6,2.65,76.0,97.4,803,
Specimen_001_A10_A10_008.fcs,A10,M3,2.29E+04,375,ZsG + Y150D GP,Y,Y,N,N,4.52E5,0.79,74.4,97.7,238,
Specimen_001_A11_002.fcs,A11,M3,2.29E+04,1875,ZsG + VSV G,Y,Y,Y,N,1.07E7,3.73,74.0,97.2,1129,
Specimen_001_A12_A12_009.fcs,A12,M3,2.29E+04,3,NoVEP,Y,Y,N,N,15.2,3.32E-3,79.9,97.8,1.00,
Specimen_002_B1_B01_010.fcs,B01,B-1,2.29E+04,3,NoHPs,N,N,N,Y,0,0,77.9,96.0,0,
Specimen_002_B2_B02_011.fcs,B02,B-1,2.29E+04,3,"HPs, No dox",Y,N,N,N,3527,0.77,75.3,95.6,232,
Specimen_002_B3_B03_012.fcs,B03,B-1,2.29E+04,15,HPs + dox,Y,N,N,Y,49235,2.15,73.3,95.9,651,
Specimen_002_B4_B04_013.fcs,B04,B-1,2.29E+04,3,HPs + ZsG,Y,Y,N,N,4809,1.05,78.3,96.6,316,
Specimen_002_B5_B05_014.fcs,B05,B-1,2.29E+04,15,HPs + ZsG + dox,Y,Y,N,Y,49235,2.15,77.4,97.1,650,
Specimen_002_B6_B06_015.fcs,B06,B-1,2.29E+04,375,HPs + VSV G,Y,N,Y,N,1.78E6,3.11,77.4,96.5,940,
Specimen_002_B7_B07_016.fcs,B07,B-1,2.29E+04,1875,HPs + VSV G + dox,Y,N,Y,Y,3.75E6,1.31,75.3,96.1,397,
Specimen_002_B8_B08_017.fcs,B08,B-1,2.29E+04,1875,HPs + ZsG + V,Y,Y,Y,N,1.72E7,6.00,76.4,96.1,1825,
Specimen_002_B10_B10_019.fcs,B10,M3,2.29E+04,375,HPs + FJ + Dox,Y,N,N,Y,5.73E5,1.00,77.8,97.5,304,
Specimen_002_B11_B11_020.fcs,B11,M3,2.29E+04,1875,HPs + FJ + V,Y,N,Y,N,6.78E6,2.37,76.9,96.7,721,
Specimen_002_B12_B12_021.fcs,B12,A-2-2,2.29E+04,3,HPs + dox,Y,N,N,Y,9710,2.12,75.1,96.9,642,
